Name,Address,Type,Bedroom limit,Guest limit,Expiration date,Location,Y,X
1572 Magazine St Apt C,1572 Magazine St Apt C,Short Term Rental Commercial Owner,2,4,11/23/2022 23:59,"(29.9327309324472, -90.0727052350259)",29.9327309324472, -90.0727052350259
1002 Verret St,1002 Verret St,Short Term Rental Commercial Owner,1,2,11/22/2022 23:59,"(29.9453933043394, -90.049996322177)",29.9453933043394, -90.049996322177
1572 Magazine St Apt A,1572 Magazine St Apt A,Short Term Rental Commercial Owner,1,2,11/23/2022 23:59,"(29.9327405195896, -90.0727472007548)",29.9327405195896, -90.0727472007548
"1505 Robert C Blakes, SR Dr","1505 Robert C Blakes, SR Dr",Short Term Rental Commercial Owner,3,6,11/23/2022 23:59,"(29.9397085402145, -90.0769715356914)",29.9397085402145, -90.0769715356914
2924 St Bernard Ave,2924 St Bernard Ave,Short Term Rental Commercial Owner,4,8,8/3/2023 23:59,"(29.9866862216343, -90.0740679473453)",29.9866862216343, -90.0740679473453
2819 Grand Route St John St,2819 Grand Route St John St,Short Term Rental Residential Owner,1,2,3/1/2023 0:00,"(29.979763545545, -90.0784324308595)",29.979763545545, -90.0784324308595
1416 Carondelet St Unit B,1416 Carondelet St Unit B,Short Term Rental Commercial Owner,2,4,10/5/2023 23:59,"(29.9400437303138, -90.0763258633901)",29.9400437303138, -90.0763258633901
635 S Tonti St,635 S Tonti St,Short Term Rental Commercial Owner,5,10,8/3/2023 23:59,"(29.9584777626975, -90.0884417219926)",29.9584777626975, -90.0884417219926
1524 Baronne St Apt 3A,1524 Baronne St Apt 3A,Short Term Rental Commercial Owner,5,10,1/11/2023 23:59,"(29.9398281588895, -90.0780858356214)",29.9398281588895, -90.0780858356214
QUALITY INN,10020 I-10 SERVICE RD,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,,#VALUE!,#VALUE!
2101 Josephine St,2101 Josephine St,Short Term Rental Residential Owner,3,6,6/6/2023 23:59,"(29.9390459458805, -90.0832178314099)",29.9390459458805, -90.0832178314099
1300 Socrates St,1300 Socrates St,Short Term Rental Residential Owner,3,6,7/31/2023 23:59,"(29.9412293969983, -90.0432492047549)",29.9412293969983, -90.0432492047549
1831 Hastings Pl,1831 Hastings Pl,Short Term Rental Commercial Owner,2,4,1/12/2023 23:59,"(29.9314269620729, -90.0734543476571)",29.9314269620729, -90.0734543476571
1810 Oretha Castle Haley Blvd,1810 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,5,10,3/15/2023 23:59,"(29.938697391877, -90.0808102249235)",29.938697391877, -90.0808102249235
623 S Lopez St,623 S Lopez St,Short Term Rental Commercial Owner,3,6,1/10/2023 23:59,"(29.9638868266176, -90.0966842992805)",29.9638868266176, -90.0966842992805
2507 Bell St,2507 Bell St,Short Term Rental Commercial Owner,3,6,11/30/2022 23:59,"(29.9761822368874, -90.0769562322683)",29.9761822368874, -90.0769562322683
114 Atlantic Ave,114 Atlantic Ave,Short Term Rental Commercial Owner,4,8,1/10/2023 23:59,"(29.954212074992, -90.0446844076652)",29.954212074992, -90.0446844076652
4849 Tchoupitoulas St,4849 Tchoupitoulas St,Short Term Rental Commercial Owner,2,4,3/24/2023 23:59,"(29.9167424256402, -90.1071431769029)",29.9167424256402, -90.1071431769029
645 S Dupre St,645 S Dupre St,Short Term Rental Commercial Owner,,,1/10/2023 23:59,"(29.962378620123, -90.0942223278573)",29.962378620123, -90.0942223278573
2000 Burgundy St Ste 202,2000 Burgundy St Ste 202,Short Term Rental Commercial Owner,2,4,1/10/2023 23:59,"(29.9662944684438, -90.0590269049589)",29.9662944684438, -90.0590269049589
3026 Napoleon Ave,3026 Napoleon Ave,Short Term Rental Residential Owner,2,4,8/2/2023 23:59,"(29.9410719890831, -90.1038509996286)",29.9410719890831, -90.1038509996286
643 S Dupre St,643 S Dupre St,Short Term Rental Commercial Owner,3,6,1/10/2023 23:59,"(29.9623994393586, -90.0942079204103)",29.9623994393586, -90.0942079204103
722 S Lopez St,722 S Lopez St,Short Term Rental Commercial Owner,3,6,12/16/2022 23:59,"(29.9626657099309, -90.0971395039716)",29.9626657099309, -90.0971395039716
4813 Julia St,4813 Julia St,Short Term Rental Commercial Owner,3,6,3/21/2023 23:59,"(29.9764028434338, -90.1113335966288)",29.9764028434338, -90.1113335966288
2317 Gravier St,2317 Gravier St,Short Term Rental Commercial Owner,,,1/10/2023 23:59,"(29.9588130149914, -90.0872012291817)",29.9588130149914, -90.0872012291817
8122 Jeannette St,8122 Jeannette St,Short Term Rental Commercial Owner,1,2,3/24/2023 23:59,"(29.9497652996354, -90.1280615241081)",29.9497652996354, -90.1280615241081
924 Elysian Fields Ave Unit D,924 Elysian Fields Ave Unit D,Short Term Rental Commercial Owner,1,2,10/11/2023 23:59,"(29.9671244420776, -90.0572472559387)",29.9671244420776, -90.0572472559387
1524 Baronne St Apt 2B,1524 Baronne St Apt 2B,Short Term Rental Commercial Owner,3,6,1/11/2023 23:59,"(29.9398435443459, -90.0781160174843)",29.9398435443459, -90.0781160174843
"1817 Martin Luther King, Jr Blvd","1817 Martin Luther King, Jr Blvd",Short Term Rental Commercial Owner,2,4,1/12/2023 23:59,"(29.9408289824332, -90.0783152735474)",29.9408289824332, -90.0783152735474
3102 Esplanade Ave,3102 Esplanade Ave,Short Term Rental Residential Owner,3,6,3/1/2023 0:00,"(29.979445631573, -90.0835752864682)",29.979445631573, -90.0835752864682
211 Pelican Ave,211 Pelican Ave,Short Term Rental Residential Owner,2,4,3/1/2023 0:00,"(29.9513745008304, -90.0538897261756)",29.9513745008304, -90.0538897261756
724 S Lopez St,724 S Lopez St,Short Term Rental Commercial Owner,3,6,12/16/2022 23:59,"(29.9626418798905, -90.0971525269372)",29.9626418798905, -90.0971525269372
1324 Franklin Ave,1324 Franklin Ave,Short Term Rental Commercial Owner,2,4,10/12/2023 23:59,"(29.9714859874128, -90.0497140180421)",29.9714859874128, -90.0497140180421
619 Franklin Ave,619 Franklin Ave,Short Term Rental Residential Owner,1,2,8/1/2023 23:59,"(29.9642917017974, -90.0514300421748)",29.9642917017974, -90.0514300421748
625 S Tonti St,625 S Tonti St,Short Term Rental Commercial Owner,5,10,8/3/2023 23:59,"(29.9586147368508, -90.088319341405)",29.9586147368508, -90.088319341405
1604 Prytania St,1604 Prytania St,Short Term Rental Commercial Owner,5,10,3/21/2023 23:59,"(29.9372910692434, -90.0747617942331)",29.9372910692434, -90.0747617942331
2036 Magazine St Apt 1,2036 Magazine St Apt 1,Short Term Rental Commercial Owner,1,2,3/20/2023 23:59,"(29.930427931871, -90.0752953725142)",29.930427931871, -90.0752953725142
2004 Carondelet St,2004 Carondelet St,Short Term Rental Residential Owner,2,4,8/2/2023 23:59,"(29.9361881474987, -90.0798104444628)",29.9361881474987, -90.0798104444628
838 Valence St,838 Valence St,Short Term Rental Commercial Owner,1,2,8/4/2023 23:59,"(29.9203668268692, -90.1051341769041)",29.9203668268692, -90.1051341769041
1802 Oretha Castle Haley Blvd,1802 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,2,4,8/3/2023 23:59,"(29.9388496615006, -90.0807093580153)",29.9388496615006, -90.0807093580153
1027 Delachaise St,1027 Delachaise St,Short Term Rental Commercial Owner,2,4,8/4/2023 23:59,"(29.9222617299819, -90.0897460818907)",29.9222617299819, -90.0897460818907
1124 St Charles Ave Apt 2B,1124 St Charles Ave Apt 2B,Short Term Rental Commercial Owner,1,2,7/22/2023 23:59,"(29.941553355964, -90.0732799291885)",29.941553355964, -90.0732799291885
1309 St Anthony St,1309 St Anthony St,Short Term Rental Residential Owner,1,2,7/28/2023 23:59,"(29.9695456048789, -90.0615639211484)",29.9695456048789, -90.0615639211484
7322 Hickory St,7322 Hickory St,Short Term Rental Residential Owner,1,2,7/31/2023 23:59,"(29.9476032003921, -90.1205877466746)",29.9476032003921, -90.1205877466746
833 Baronne St Apt 3A,833 Baronne St Apt 3A,Short Term Rental Commercial Owner,4,8,10/10/2023 23:59,"(29.9457580045404, -90.0746858892747)",29.9457580045404, -90.0746858892747
4853 Tchoupitoulas St,4853 Tchoupitoulas St,Short Term Rental Commercial Owner,2,4,3/24/2023 23:59,"(29.9167336138687, -90.1072363155933)",29.9167336138687, -90.1072363155933
1018 Third St,1018 Third St,Short Term Rental Residential Owner,2,4,7/31/2023 23:59,"(29.9265628642372, -90.0806012997907)",29.9265628642372, -90.0806012997907
2427 Iberville St,2427 Iberville St,Short Term Rental Residential Owner,2,4,7/31/2023 23:59,"(29.9647071287253, -90.0837190697134)",29.9647071287253, -90.0837190697134
5444 Durham Dr,5444 Durham Dr,Short Term Rental Residential Owner,5,10,5/16/2023 23:59,"(29.920072176059, -89.9966939616468)",29.920072176059, -89.9966939616468
50 Fontainebleau Dr,50 Fontainebleau Dr,Short Term Rental Residential Owner,3,6,3/1/2023 0:00,"(29.9549481768919, -90.1162647780319)",29.9549481768919, -90.1162647780319
2048 Florida Ave,2048 Florida Ave,Short Term Rental Residential Owner,2,4,8/18/2023 23:59,"(29.9861617021688, -90.0616040310795)",29.9861617021688, -90.0616040310795
1829 Pauline St,1829 Pauline St,Short Term Rental Residential Owner,2,4,8/1/2023 23:59,"(29.9738228497284, -90.0347754014366)",29.9738228497284, -90.0347754014366
643 S Tonti St,643 S Tonti St,Short Term Rental Commercial Owner,5,10,8/3/2023 23:59,"(29.9583625598951, -90.0885457662594)",29.9583625598951, -90.0885457662594
113 S Salcedo St,113 S Salcedo St,Short Term Rental Residential Owner,1,2,8/2/2023 23:59,"(29.9679277329307, -90.0917975505273)",29.9679277329307, -90.0917975505273
2319 Gravier St,2319 Gravier St,Short Term Rental Commercial Owner,,,1/10/2023 23:59,"(29.9588350886875, -90.0872351559651)",29.9588350886875, -90.0872351559651
849 Alvar St,849 Alvar St,Short Term Rental Commercial Owner,5,10,11/29/2022 23:59,"(29.9635173968351, -90.0369461204055)",29.9635173968351, -90.0369461204055
855 Baronne St Unit 4D,855 Baronne St Unit 4D,Short Term Rental Commercial Owner,3,6,1/10/2023 23:59,"(29.94521586214, -90.0748345709834)",29.94521586214, -90.0748345709834
1833 Hastings Pl,1833 Hastings Pl,Short Term Rental Commercial Owner,2,4,1/12/2023 23:59,"(29.9314127938002, -90.0734709758308)",29.9314127938002, -90.0734709758308
4100 St Peter St Apt 2B,4100 St Peter St Apt 2B,Short Term Rental Commercial Owner,1,2,1/9/2023 23:59,"(29.9790691897163, -90.0964163599363)",29.9790691897163, -90.0964163599363
1524 Baronne St Apt 1A,1524 Baronne St Apt 1A,Short Term Rental Commercial Owner,4,8,1/11/2023 23:59,"(29.9398852584073, -90.0781733071033)",29.9398852584073, -90.0781733071033
1330 Prytania St Apt 202,1330 Prytania St Apt 202,Short Term Rental Commercial Owner,,,1/9/2023 23:59,"(29.93910971305, -90.0733582405997)",29.93910971305, -90.0733582405997
1806 Oretha Castle Haley Blvd,1806 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,5,10,3/15/2023 23:59,"(29.9387652695717, -90.0807590426233)",29.9387652695717, -90.0807590426233
620 N Pierce St,620 N Pierce St,Short Term Rental Commercial Owner,3,4,8/4/2023 23:59,"(29.9779385551837, -90.095514601558)",29.9779385551837, -90.095514601558
1438 N Claiborne Ave,1438 N Claiborne Ave,Short Term Rental Commercial Owner,5,10,1/11/2023 23:59,"(29.9699320369842, -90.0676573264579)",29.9699320369842, -90.0676573264579
1040 Marigny St,1040 Marigny St,Short Term Rental Commercial Owner,3,6,1/7/2023 23:59,"(29.9683446718947, -90.0556404613279)",29.9683446718947, -90.0556404613279
1515 Calliope St Apt 201,1515 Calliope St Apt 201,Short Term Rental Commercial Owner,3,6,10/7/2023 23:59,"(29.9419771752916, -90.0721996382078)",29.9419771752916, -90.0721996382078
339 Carondelet St Apt 3D,339 Carondelet St Apt 3D,Short Term Rental Commercial Owner,1,2,10/11/2023 23:59,"(29.9510922469741, -90.0716785218728)",29.9510922469741, -90.0716785218728
1524 Baronne St Apt 2C,1524 Baronne St Apt 2C,Short Term Rental Commercial Owner,3,6,1/11/2023 23:59,"(29.9398345561541, -90.0780991746326)",29.9398345561541, -90.0780991746326
1524 Baronne St Apt 2A,1524 Baronne St Apt 2A,Short Term Rental Commercial Owner,4,8,1/11/2023 23:59,"(29.9398614040691, -90.0781403583901)",29.9398614040691, -90.0781403583901
3109 Lafitte Ave,3109 Lafitte Ave,Short Term Rental Commercial Owner,3,6,12/17/2022 23:59,"(29.9718720054666, -90.0886616921032)",29.9718720054666, -90.0886616921032
4100 St Peter St Apt 2A,4100 St Peter St Apt 2A,Short Term Rental Commercial Owner,,,1/9/2023 23:59,"(29.9790585780278, -90.0963903685695)",29.9790585780278, -90.0963903685695
2138 Farragut St,2138 Farragut St,Short Term Rental Residential Owner,2,4,3/1/2023 0:00,"(29.9320048813942, -90.034443768125)",29.9320048813942, -90.034443768125
621 S Lopez St,621 S Lopez St,Short Term Rental Commercial Owner,,,1/10/2023 23:59,"(29.9639137125841, -90.0966628687184)",29.9639137125841, -90.0966628687184
2221 Delachaise St,2221 Delachaise St,Short Term Rental Residential Owner,2,4,2/16/2023 23:59,"(29.9338620251326, -90.0952765532294)",29.9338620251326, -90.0952765532294
4431 Tchoupitoulas St,4431 Tchoupitoulas St,Short Term Rental Commercial Owner,4,8,3/21/2023 23:59,"(29.9171698388745, -90.102039474674)",29.9171698388745, -90.102039474674
337 Morgan St Apt B,337 Morgan St Apt B,Short Term Rental Commercial Owner,,,3/22/2023 23:59,"(29.9545222352273, -90.0528494476073)",29.9545222352273, -90.0528494476073
1920 Elysian Fields Ave,1920 Elysian Fields Ave,Short Term Rental Residential Owner,2,4,3/1/2023 0:00,"(29.9771241994762, -90.0578615108104)",29.9771241994762, -90.0578615108104
CASA PELICAN LLC,712 PELICAN ST,4703 - BED & BREAKFAST INNS,,,,,#VALUE!,#VALUE!
4108 Laurel St,4108 Laurel St,Short Term Rental Residential Owner,3,6,8/1/2023 23:59,"(29.9189090638201, -90.098101877847)",29.9189090638201, -90.098101877847
4851 Tchoupitoulas St,4851 Tchoupitoulas St,Short Term Rental Commercial Owner,,,3/24/2023 23:59,"(29.9167399094097, -90.1071918538681)",29.9167399094097, -90.1071918538681
2036 Magazine St Apt 2,2036 Magazine St Apt 2,Short Term Rental Commercial Owner,3,6,3/20/2023 23:59,"(29.9304079415996, -90.0752783544609)",29.9304079415996, -90.0752783544609
8120 Jeannette St,8120 Jeannette St,Short Term Rental Commercial Owner,1,2,3/24/2023 23:59,"(29.9497416421647, -90.1280336736565)",29.9497416421647, -90.1280336736565
4855 Tchoupitoulas St,4855 Tchoupitoulas St,Short Term Rental Commercial Owner,2,4,3/24/2023 23:59,"(29.9167322670229, -90.1072835892031)",29.9167322670229, -90.1072835892031
505 Frenchmen St,505 Frenchmen St,Short Term Rental Commercial Owner,1,2,5/2/2023 23:59,"(29.9627907980921, -90.0576065708806)",29.9627907980921, -90.0576065708806
4110 Piedmont Dr,4110 Piedmont Dr,Short Term Rental Residential Owner,1,2,5/4/2023 23:59,"(30.0000069456629, -90.0565938054072)",30.0000069456629, -90.0565938054072
3927 Eagle St,3927 Eagle St,Short Term Rental Residential Owner,1,2,6/29/2023 23:59,"(29.9718858107843, -90.1142422770472)",29.9718858107843, -90.1142422770472
529 Third St,529 Third St,Short Term Rental Commercial Owner,5,10,11/4/2022 23:59,"(29.9226138700744, -90.0772717903392)",29.9226138700744, -90.0772717903392
3412 Prytania St,3412 Prytania St,Short Term Rental Commercial Owner,4,8,5/4/2023 23:59,"(29.9266152071781, -90.0911872950686)",29.9266152071781, -90.0911872950686
2260 St Claude Ave,2260 St Claude Ave,Short Term Rental Commercial Owner,5,10,5/4/2023 23:59,"(29.9685699212186, -90.0549520686664)",29.9685699212186, -90.0549520686664
517 Port St Apt 2A,517 Port St Apt 2A,Short Term Rental Commercial Owner,1,2,4/29/2023 23:59,"(29.9633860900035, -90.0507036831149)",29.9633860900035, -90.0507036831149
1345 Franklin Ave,1345 Franklin Ave,Short Term Rental Commercial Owner,3,6,5/4/2023 23:59,"(29.9718178231718, -90.0491496120162)",29.9718178231718, -90.0491496120162
504 David St,504 David St,Short Term Rental Commercial Owner,5,10,4/6/2023 23:59,"(29.9782538601549, -90.0981101065092)",29.9782538601549, -90.0981101065092
505 Frenchmen St,505 Frenchmen St,Short Term Rental Commercial Owner,1,2,5/2/2023 23:59,"(29.9627907980921, -90.0576065708806)",29.9627907980921, -90.0576065708806
428 Opelousas Ave,428 Opelousas Ave,Short Term Rental Commercial Owner,2,4,5/4/2023 23:59,"(29.9489492606497, -90.0513173889839)",29.9489492606497, -90.0513173889839
2558 Prentiss Ave,2558 Prentiss Ave,Short Term Rental Residential Owner,2,4,6/27/2023 23:59,"(30.0170322943235, -90.0521619283327)",30.0170322943235, -90.0521619283327
503 N Salcedo St,503 N Salcedo St,Short Term Rental Commercial Owner,3,6,1/15/2023 23:59,"(29.9717418191606, -90.0883823650299)",29.9717418191606, -90.0883823650299
2130 Laurel St,2130 Laurel St,Short Term Rental Commercial Owner,2,4,5/3/2023 23:59,"(29.9281209496619, -90.0749614416878)",29.9281209496619, -90.0749614416878
2224 Marais St Apt 1A,2224 Marais St Apt 1A,Short Term Rental Residential Owner,2,4,7/18/2023 23:59,"(29.9694938929712, -90.0559802498644)",29.9694938929712, -90.0559802498644
135 N Clark St,135 N Clark St,Short Term Rental Commercial Owner,3,6,6/30/2023 23:59,"(29.9716928287293, -90.0945446966911)",29.9716928287293, -90.0945446966911
828 Girod St Apt 501,828 Girod St Apt 501,Short Term Rental Commercial Owner,3,6,5/11/2023 23:59,"(29.9477354491475, -90.0733157664513)",29.9477354491475, -90.0733157664513
828 Girod St Apt 304,828 Girod St Apt 304,Short Term Rental Commercial Owner,3,6,5/12/2023 23:59,"(29.9476942196287, -90.0733724638612)",29.9476942196287, -90.0733724638612
828 Girod St Apt 603,828 Girod St Apt 603,Short Term Rental Commercial Owner,3,6,5/12/2023 23:59,"(29.9477025588808, -90.0733099925197)",29.9477025588808, -90.0733099925197
828 Girod St Apt 303,828 Girod St Apt 303,Short Term Rental Commercial Owner,3,6,5/12/2023 23:59,"(29.9477103063624, -90.0733695134786)",29.9477103063624, -90.0733695134786
2628 Elder St,2628 Elder St,Short Term Rental Residential Owner,2,4,5/9/2023 23:59,"(29.9944806941943, -90.0487248151332)",29.9944806941943, -90.0487248151332
828 Girod St Apt 503,828 Girod St Apt 503,Short Term Rental Commercial Owner,3,6,5/11/2023 23:59,"(29.9477068959041, -90.0733263897616)",29.9477068959041, -90.0733263897616
HILTON NEW ORLEANS/ ST CHARLES AVENUE,200 SPECTRUM CENTER DR,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,,,,,#VALUE!,#VALUE!
1109 Erato St,1109 Erato St,Short Term Rental Residential Owner,1,2,5/24/2023 23:59,"(29.939463194785, -90.0712777753281)",29.939463194785, -90.0712777753281
710 Baronne St Apt 203,710 Baronne St Apt 203,Short Term Rental Commercial Owner,2,4,5/12/2023 23:59,"(29.9475972158368, -90.0736498673357)",29.9475972158368, -90.0736498673357
326 S Broad St,326 S Broad St,Short Term Rental Commercial Owner,5,10,5/9/2023 23:59,"(29.9631901668855, -90.0891507912107)",29.9631901668855, -90.0891507912107
710 Baronne St Apt 205,710 Baronne St Apt 205,Short Term Rental Commercial Owner,3,6,5/12/2023 23:59,"(29.9475885418686, -90.0736170728614)",29.9475885418686, -90.0736170728614
828 Girod St Apt 305,828 Girod St Apt 305,Short Term Rental Commercial Owner,3,6,5/12/2023 23:59,"(29.9476757799916, -90.0733795490573)",29.9476757799916, -90.0733795490573
710 Baronne St Apt 202,710 Baronne St Apt 202,Short Term Rental Commercial Owner,3,6,5/12/2023 23:59,"(29.9476027218736, -90.0736648603982)",29.9476027218736, -90.0736648603982
972 Picheloup Pl,972 Picheloup Pl,Short Term Rental Residential Owner,1,2,5/11/2023 23:59,"(29.9812440897811, -90.0924339365308)",29.9812440897811, -90.0924339365308
828 Girod St Apt 505,828 Girod St Apt 505,Short Term Rental Commercial Owner,3,6,5/11/2023 23:59,"(29.9476729941164, -90.0733384700212)",29.9476729941164, -90.0733384700212
828 Girod St Apt 605,828 Girod St Apt 605,Short Term Rental Commercial Owner,3,6,5/12/2023 23:59,"(29.9476686570945, -90.0733220727844)",29.9476686570945, -90.0733220727844
223 S Broad St,223 S Broad St,Short Term Rental Commercial Owner,5,10,3/30/2023 23:59,"(29.9643143433615, -90.0887446066836)",29.9643143433615, -90.0887446066836
1322 Governor Nicholls St,1322 Governor Nicholls St,Short Term Rental Residential Owner,1,2,5/12/2023 23:59,"(29.9661285036008, -90.0670977838408)",29.9661285036008, -90.0670977838408
2640 St Ann St,2640 St Ann St,Short Term Rental Residential Owner,1,2,5/9/2023 23:59,"(29.970884728751, -90.0819161362029)",29.970884728751, -90.0819161362029
3663 Tchoupitoulas St,3663 Tchoupitoulas St,Short Term Rental Commercial Owner,2,4,5/12/2023 23:59,"(29.9179985596601, -90.0918969398859)",29.9179985596601, -90.0918969398859
710 Baronne St Apt 206,710 Baronne St Apt 206,Short Term Rental Commercial Owner,3,6,5/12/2023 23:59,"(29.9475841852321, -90.0735986233234)",29.9475841852321, -90.0735986233234
828 Girod St Apt 502,828 Girod St Apt 502,Short Term Rental Commercial Owner,3,6,5/11/2023 23:59,"(29.9477188031456, -90.0733234921454)",29.9477188031456, -90.0733234921454
4221 Prytania St 2B,4221 Prytania St 2B,Short Term Rental Residential Owner,2,4,5/10/2023 23:59,"(29.9252826602672, -90.1002624266296)",29.9252826602672, -90.1002624266296
